S.N.,Date,Reference/From where did they come to know about us?,comments
1,25-Apr-24,Whatsapp,Want Sadalwood plants
2,26-Apr-24,Instagram,Interested to Agroforestry but Not decided fruits
3,26-Apr-24,Peer to Peer,Interested to Agroforestry but Not decided fruits
4,27-Apr-24,Poster/Flyer,Interested to Agroforestry but Not decided fruits
5,27-Apr-24,Whatsapp,Mango And Sitaphal
6,27-Apr-24,Poster/Flyer,Kheshr mango 
7,27-Apr-24,Poster/Flyer,Mango And Lemon
8,27-Apr-24,Facebook,Mango And Shevga
9,29-Apr-24,Stall /program/Function,Interested Farmer (Plese followup Argently)
10,29-Apr-24,Facebook,Interested Farmer
11,29-Apr-24,Peer to Peer,Interested Farmer
12,29-Apr-24,Facebook,Sitaphal And Cocunat
13,29-Apr-24,Peer to Peer,Mango And Lemon
14,30-Apr-24,F4F_Team,Interested Farmer
15,30-Apr-24,Facebook,Kesher Mango
16,30-Apr-24,Facebook,Interested Farmer
17,30-Apr-24,Poster/Flyer,Interested Farmer
18,30-Apr-24,Whatsapp,Interested Farmer
19,30-Apr-24,Peer to Peer,Interested Farmer
20,30-Apr-24,Peer to Peer,Called to get information about F4F
21,30-Apr-24,Whatsapp,Interested Farmer
22,03-May-24,F4F_Team,Alredy plantaion is done.( called to get information about F4F)
23,03-May-24,Instagram,Lemaon And Mango 
24,03-May-24,Peer to Peer,Interested Farmer
25,03-May-24,Peer to Peer,Interested Farmer
26,03-May-24,Peer to Peer,Interested Farmer
27,04-May-24,Instagram,Interested Farmer
28,04-May-24,Peer to Peer,Interested Farmer
29,04-May-24,Instagram,Sitaphal  
30,04-May-24,F4F_Team,Interested but Financial Problem
31,04-May-24,Instagram,Keshr Mango And Sitaphal
32,06-May-24,F4F_Team, Called to get information about Carben Credit 
33,06-May-24,Instagram,"Interested but( Dragen,Naral.Fanas)"
34,06-May-24,Instagram,Interested( Self Angio Agroforestri Work) Orange
35,06-May-24,Instagram,Interested Farmer
36,06-May-24,Instagram,Pomegranate
37,06-May-24,Instagram,Interested Farmer(Not rescive)
38,06-May-24,Instagram,Not Eligible
39,06-May-24,F4F_Team,Interested Farmer
40,06-May-24,Instagram,Interested Farmer
41,06-May-24,Instagram,Called to get information about F4F
42,06-May-24,Instagram,Interested Farmer
43,06-May-24,F4F_Team,Interested Farmer
44,06-May-24,Peer to Peer,Interested Farmer
45,06-May-24,Instagram,Interested Farmer(Not rescive)
51,07-May-24,Facebook,Interested Farmer
52,07-May-24,Instagram,Interested Farmer
53,07-May-24,Instagram,Hiring regarding call  
54,07-May-24,Instagram,Interested Farmer(Off)
55,07-May-24,Instagram,Interested Farmer
56,07-May-24,Instagram,Interested Farmer(Out of service)
57,07-May-24,Instagram,Interested Farmer
58,07-May-24,Instagram,Interested in connecting with F4F
59,07-May-24,Instagram,Mango 
60,08-May-24,Facebook,Interested Farmer
61,08-May-24,Whatsapp,Bambu
62,08-May-24,Instagram,Interested Farmer
63,08-May-24,Whatsapp,Alreday plantation is done just wanted a guideance from F4F
64,08-May-24,Instagram,Kheshar mango 
65,08-May-24,Instagram,Mango And Guava
66,08-May-24,Instagram,Mango And Lemon
67,08-May-24,Instagram,Alreday plantation is done called to get information about carbon credit
68,08-May-24,F4F_Team,Interested Farmer
69,09-May-24,Instagram,Anjir
70,09-May-24,Whatsapp,Interested Farmer
71,09-May-24,F4F_Team,Interested Farmer
72,09-May-24,Instagram,Interested Farmer
73,09-May-24,Instagram,Interested Farmer
74,09-May-24,Instagram,Interested Farmer
75,09-May-24,Instagram,Interested Farmer
76,09-May-24,Instagram,Mango And Ashoka
77,09-May-24,Instagram,Interested Farmer
78,10-May-24,Instagram,"Interested Farmer( farmer special reqest provied saplling) Mango,Orange "
79,10-May-24,Instagram,Interested Farmer( farmer special reqest provied saplling) Mango
80,10-May-24,Peer to Peer,Mango 
81,10-May-24,Peer to Peer,Mango 
82,10-May-24,Instagram,Mango And Jambul
83,10-May-24,Instagram,Mango 
84,10-May-24,Instagram,Interested Farmer(Hiring )
85,10-May-24,Instagram,Interested Farmer(Hiring )
86,10-May-24,Instagram,Mosambi And Mango
87,10-May-24,Instagram,Interested Farmer ( Switch Off)
88,10-May-24,Instagram,"Mango,Cocunt,Supari"
89,10-May-24,Instagram,Mango And Shevga
90,10-May-24,Instagram,Interested Farmer
91,10-May-24,Instagram,Called to get information about F4F
92,10-May-24,Instagram,Interested Farmer
93,11-May-24,Instagram,Interested Farmer
94,11-May-24,Instagram,Interested Farmer
95,11-May-24,Peer to Peer,Interested Farmer
96,11-May-24,Instagram,Interested Farmer
97,11-May-24,Instagram,Mango 
98,13-May-24,Instagram,Interested Farmer 
99,13-May-24,Instagram,"Mango,Jambul"
100,13-May-24,Instagram,Sitaphal
101,13-May-24,Instagram,Interested Farmer
102,13-May-24,Instagram,Mango 
103,13-May-24,Instagram,"Mango,Sitaphal,Lemon,Sagwan"
104,13-May-24,Peer to Peer,Hiring regarding ( uplod resume from post Program Maneger)
105,13-May-24,Instagram,Mango 
106,13-May-24,Instagram,Interested Farmer
107,14-May-24,Instagram,Sitaphal And Guava
108,14-May-24,Stall /program/Function,1000 Mango plants are requied 1.5 Acre
109,14-May-24,Stall /program/Function,Mango
110,14-May-24,Instagram,"Sitaphal,Guava"
